KOD;KOMPONENTENNAME;BESCHREIBUNG
V02;2. Proses Pumpe Saugung Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 2. Proses Pumpe Saugung Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V03;3. Proses Pumpe Saugung Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 3. Proses Pumpe Saugung Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V04;4. Proses Pumpe Saugung Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 4. Proses Pumpe Saugung Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V05;Conta Şişirme Aktüator Ventil valfi;Steuert Strömungsführung oder Absperrung für Conta Şişirme Aktüator Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V06;Conta Söndürme Aktüator Ventil valfi;Steuert Strömungsführung oder Absperrung für Conta Söndürme Aktüator Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V07;1. Trocknung Hattı Aktüator Ventil valfi;Steuert Strömungsführung oder Absperrung für 1. Trocknung Hattı Aktüator Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V08;2. Trocknung Hattı Aktüator Ventil valfi;Steuert Strömungsführung oder Absperrung für 2. Trocknung Hattı Aktüator Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V09;Zelle Ablauf Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für Zelle Ablauf Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V10;Zelle Saugung Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für Zelle Saugung Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V11;Proses Ana Geri Dönüş Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für Proses Ana Geri Dönüş Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V12;Hat Temizleme Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für Hat Temizleme Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V13;By-Pass Hattı Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für By-Pass Hattı Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V14;Ana Yıkama Nozzle Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für Ana Yıkama Nozzle Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V15;Saugung Kollektör Temizleme Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für Saugung Kollektör Temizleme Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V16;1. Proses Geri Dönüş Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 1. Proses Geri Dönüş Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V17;2. Proses Geri Dönüş Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 2. Proses Geri Dönüş Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V18;3. Proses Geri Dönüş Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 3. Proses Geri Dönüş Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V19;4. Proses Geri Dönüş Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 4. Proses Geri Dönüş Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V20;1. Prozesstank Oto. Dolum Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 1. Prozesstank Oto. Dolum Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V21;2. Prozesstank Oto. Dolum Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 2. Prozesstank Oto. Dolum Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V22;3. Prozesstank Oto. Dolum Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 3. Prozesstank Oto. Dolum Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V23;4. Prozesstank Oto. Dolum Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 4. Prozesstank Oto. Dolum Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V24;1. Prozesstank Kaskat Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 1. Prozesstank Kaskat Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V25;2. Prozesstank Kaskat Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 2. Prozesstank Kaskat Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V26;3. Prozesstank Kaskat Stellantrieb Ventil valfi;Steuert Strömungsführung oder Absperrung für 3. Prozesstank Kaskat Stellantrieb Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V27;1. Tank Ablauf Aktuatör Ventil valfi;Steuert Strömungsführung oder Absperrung für 1. Tank Ablauf Aktuatör Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V28;2. Tank Ablauf Aktuatör Ventil valfi;Steuert Strömungsführung oder Absperrung für 2. Tank Ablauf Aktuatör Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V29;3. Tank Ablauf Aktuatör Ventil valfi;Steuert Strömungsführung oder Absperrung für 3. Tank Ablauf Aktuatör Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V30;Arıtma Dönüş Aktuatör Ventil valfi;Steuert Strömungsführung oder Absperrung für Arıtma Dönüş Aktuatör Ventil valfi. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V31;1. Prozesstank Tahliye Ventil Aç Ventil;Steuert Strömungsführung oder Absperrung für 1. Prozesstank Tahliye Ventil Aç Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V32;1. Prozesstank Tahliye Ventil Kapat Ventil;Steuert Strömungsführung oder Absperrung für 1. Prozesstank Tahliye Ventil Kapat Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V33;2. Prozesstank Tahliye Ventil Aç Ventil;Steuert Strömungsführung oder Absperrung für 2. Prozesstank Tahliye Ventil Aç Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V34;2. Prozesstank Tahliye Ventil Kapat Ventil;Steuert Strömungsführung oder Absperrung für 2. Prozesstank Tahliye Ventil Kapat Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V35;3. Prozesstank Tahliye Ventil Aç Ventil;Steuert Strömungsführung oder Absperrung für 3. Prozesstank Tahliye Ventil Aç Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V36;3. Prozesstank Tahliye Ventil Kapat Ventil;Steuert Strömungsführung oder Absperrung für 3. Prozesstank Tahliye Ventil Kapat Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V37;4. Prozesstank Tahliye Ventil Aç Ventil;Steuert Strömungsführung oder Absperrung für 4. Prozesstank Tahliye Ventil Aç Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V38;4. Prozesstank Tahliye Ventil Kapat Ventil;Steuert Strömungsführung oder Absperrung für 4. Prozesstank Tahliye Ventil Kapat Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V39;Zelle Boşaltma Pistonu Ventil Aç Ventil'i;Steuert Strömungsführung oder Absperrung für Zelle Boşaltma Pistonu Ventil Aç Ventil'i. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V40;Zelle Boşaltma Pistonu Ventil Kapat Ventil'i;Steuert Strömungsführung oder Absperrung für Zelle Boşaltma Pistonu Ventil Kapat Ventil'i. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V41;Korb Alma Kontrol Ventil 1;Steuert Strömungsführung oder Absperrung für Korb Alma Kontrol Ventil 1. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V42;Korb Alma Kontol Ventil 2;Steuert Strömungsführung oder Absperrung für Korb Alma Kontol Ventil 2. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V43;1. Process Tankı Deckel Pistonu Ventil;Steuert Strömungsführung oder Absperrung für 1. Process Tankı Deckel Pistonu Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V44;2. Process Tankı Deckel Pistonu Ventil;Steuert Strömungsführung oder Absperrung für 2. Process Tankı Deckel Pistonu Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V45;1. Process Tankı Deckel Pistonu Ventil;Steuert Strömungsführung oder Absperrung für 1. Process Tankı Deckel Pistonu Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V46;2. Process Tankı Deckel Pistonu Ventil;Steuert Strömungsführung oder Absperrung für 2. Process Tankı Deckel Pistonu Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V47;Ana Ventil;Steuert Strömungsführung oder Absperrung für Ana Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V48;Deckel Aç Ventil'i;Steuert Strömungsführung oder Absperrung für Deckel Aç Ventil'i. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V49;Deckel Kapat Ventil'i;Steuert Strömungsführung oder Absperrung für Deckel Kapat Ventil'i. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V50;1. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 1. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V51;2. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 2. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V52;3. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 3. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V53;4. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 4. Prozesstankndan Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V54;1. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 1. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V55;2. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 2. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V56;3. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 3. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V57;4. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 4. Zelleden Pumpeya Saugung Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V58;Egzos Hattı Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für Egzos Hattı Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V59;1. Proses Hattı Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 1. Proses Hattı Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
V60;2. Proses Hattı Stellantrieb Ventil Ventil;Steuert Strömungsführung oder Absperrung für 2. Proses Hattı Stellantrieb Ventil Ventil. Angeschlossen an Prozessleitung, Stellantrieb/Magnetventil und SPS-Digitalausgang.
